day,temperature
0,10.496714153011233
1,9.911735698828815
2,10.747688538100693
3,11.673029856408025
4,9.965846625276663
5,10.01586304305082
6,11.879212815507392
7,11.117434729152908
8,9.930525614065049
9,10.992560043585964
10,10.036582307187537
11,10.084270246429744
12,10.841962271566034
13,21.502852196392663
14,8.975082167486967
15,10.187712470759028
16,9.787168879665577
17,23.548306864659725
18,9.991975924478789
19,9.537696298664708
20,12.465648768921554
21,10.824223699513466
22,11.167528204687924
23,9.725251813786544
24,10.655617275474818
25,11.360922589709865
26,16.188780921901625
27,16.275609275194274
28,10.799361310081196
29,11.158306250206723
30,10.898293387770604
31,13.402278184508939
32,11.586502775262066
33,10.5922890710441
34,12.522544912103188
35,10.529156350028977
36,12.008863595004756
37,9.890329876120225
38,10.57181395110157
39,12.146861235869123
40,24.242733689535825
41,12.22136828118997
42,11.984351717611759
43,11.848896304410712
44,25.677392778403533
45,11.530155791605292
46,11.839361229040213
47,13.407122226218915
48,12.743618289568461
49,10.686959844637265
50,12.824083969394795
51,12.164917719583684
52,11.92307799969404
53,13.261676288840869
54,13.73099952249595
55,34.00741553185079
56,11.960782476777363
57,12.540787624148786
58,13.231263431403564
59,13.925545127122358
60,12.52082576215471
61,12.864341023336184
62,11.993665025993971
63,11.953793375919329
64,14.012525822394197
65,14.606240028570824
66,13.227989878419667
67,14.353532897892023
68,13.761636025047634
69,12.804880245394875
70,13.861395605508413
71,15.08803656646597
72,27.01871141490544
73,15.214643655814006
74,11.080254895910254
75,14.571902504375224
76,13.887047068238171
77,13.550992649534132
78,13.991760776535502
79,31.7081460243041
80,13.780328112162488
81,14.407112571511748
82,15.577894044741518
83,13.631729781726353
84,13.391506397106811
85,13.748242956415464
86,15.215402117702075
87,33.53214275727524
88,13.870239796232962
89,14.963267433113355
90,14.59707754934804
91,15.51864499053289
92,13.897946906122648
93,14.322337853402232
94,14.307891846867841
95,13.286485051867881
96,15.096120277064577
97,15.111055272179891
98,14.90511345664246
99,14.715412866624852
100,13.584629257949587
101,14.629354677234641
102,14.757285483473233
103,14.347722730778381
104,28.842590298985215
105,15.65405085681454
106,17.186185901210532
107,15.52457781283184
108,15.657550390722765
109,15.375554084233832
110,13.581228784700958
111,15.523486124550784
112,15.660230209941028
113,18.11324211248529
114,15.507639035218876
115,16.051547342333613
116,15.765288230294757
117,33.01660247972943
118,17.04282281451502
119,16.701933032686775
120,16.791031947043045
121,15.140612545205261
122,17.5027943109361
123,14.748148937207718
124,16.78685709380027
125,18.440455625809978
126,15.309463674869312
127,15.78370227039723
128,16.49965136508764
129,15.9465243458838
130,14.949336568933868
131,16.61856297480603
132,15.537696286273896
133,17.12359243063518
134,15.780575765766196
135,18.299934405017538
136,16.016746707663764
137,35.54700374067562
138,17.713517217369667
139,15.719135683566044
140,17.22745993460413
141,18.357142754282428
142,15.492516765438774
143,17.334633858532303
144,17.459882794248422
145,18.03182287177731
146,16.06304928912192
147,16.029543386915726
148,31.566739254174188
149,17.746984673233186
150,17.750492850345875
151,17.896448209496977
152,16.91997527842151
153,17.882253697161
154,17.99307247329868
155,17.035648581973632
156,19.665774511144757
157,30.2583595063699
158,16.70869650279735
159,27.623251262566217
160,17.025318329772677
161,18.837084603742454
162,19.258595579007405
163,17.329317681648288
164,19.163376129244323
165,18.6627809269365
166,42.97421774282808
167,20.24679298265395
168,18.154611883997127
169,17.69626383564251
170,17.610485570374475
171,38.758804323927436
172,18.522898290585896
173,18.991151974816642
174,38.2465643546693
175,19.577183249036025
176,18.813001891877907
177,20.30353407715732
178,18.63534316676204
179,46.23175736578948
180,19.625667347765006
181,18.192842443583718
182,18.02910750193889
183,19.632472415243186
184,18.976537214674153
185,19.96400049409209
186,19.773237624573547
187,19.277171087343127
188,18.553206281931594
189,17.935152775314137
190,19.05348504793298
191,20.406398794323472
192,19.814093744130204
193,18.40426122128801
194,19.873180925851184
195,20.135317379728836
196,18.916142563798868
197,20.00372510594553
198,19.958208718446
199,18.80702970216938
